label,filename,GLCM_Energy,GLCM_Homogeneity,GLCM_Contrast,GLCM_Correlation,RGB_mean_1,RGB_std_1,RGB_mean_2,RGB_std_2,RGB_mean_3,RGB_std_3,HSV_mean_1,HSV_std_1,HSV_mean_2,HSV_std_2,HSV_mean_3,HSV_std_3,YCbCr_mean_1,YCbCr_std_1,YCbCr_mean_2,YCbCr_std_2,YCbCr_mean_3,YCbCr_std_3
malignant,M_369.jpg,0.018787135861998577,0.1605190473418437,149.6747029478458,0.9643750233688605,131.6000722412859,43.25133798285788,138.39398591294926,51.363584835572766,225.82765035217628,37.49821313359109,31.748582264764313,64.24409483114998,114.48168683402565,39.72169753446926,225.82765035217628,37.49821313359109,163.7584251399675,45.944120934171785,172.27802058876648,8.648803891884521,109.81918006140509,2.8375358553586367
malignant,M_369_mask.jpg,0.5929536920278898,0.8752250315819738,2322.2203838678324,0.9275986423583715,140.7670199236965,126.63787300746682,140.7670199236965,126.63787300746682,140.7670199236965,126.63787300746682,0.0,0.0,0.0,0.0,140.7670199236965,126.63787300746682,140.7670199236965,126.63787300746682,128.0,0.0,128.0,0.0
malignant,M_370.jpg,0.017316080630309795,0.1512056136549433,183.41300910480956,0.9371622605214223,106.23120796061299,39.04276391126828,105.4342885375494,39.40891103450529,168.4814506622287,38.23631242091157,88.45365265931628,88.48278454114711,103.39798731017267,37.88589183304071,168.48149400180293,38.23639881195183,124.37956799112405,38.2406159973699,159.49368109007696,8.396166314343976,117.70127765064836,2.7419754062181205
malignant,M_370_mask.jpg,0.652928376858163,0.8578700303586162,2727.848981195132,0.8911864916528875,187.978188650135,112.02454267629615,187.978188650135,112.02454267629615,187.978188650135,112.02454267629615,0.0,0.0,0.0,0.0,187.978188650135,112.02454267629615,187.978188650135,112.02454267629615,128.0,0.0,128.0,0.0
malignant,M_371.jpg,0.018507414312876436,0.1699071335896506,167.36756582929783,0.9821746769269356,137.26638418079096,72.56132350274564,150.69075329566854,72.81969281825081,182.0746327683616,62.198242875238954,58.28617702448211,72.493281363335,77.5990583804143,55.78193585945391,182.13384180790962,62.219597403549,158.5524293785311,68.66737740795713,144.80745762711865,11.282642909035083,115.97691148775894,11.96984416643815
malignant,M_371_mask.jpg,0.5591879797394351,0.830672762572913,2946.9364710365853,0.9053094597908042,102.38448562332738,124.76459683398751,102.38448562332738,124.76459683398751,102.38448562332738,124.76459683398751,0.0,0.0,0.0,0.0,102.38448562332738,124.76459683398751,102.38448562332738,124.76459683398751,128.0,0.0,128.0,0.0
malignant,M_372.jpg,0.014977223567219733,0.13723047368211894,256.5857955700061,0.9220310919415753,154.10637780434914,43.92298505883484,132.0949172121679,41.08664991592771,157.16881827209534,40.39794719843053,149.07356666599114,21.43078011646682,49.346188922440874,22.318647618316536,161.60636767119956,42.37955593476755,142.09914273554506,40.611622634772395,138.76385708205825,6.748991151133328,134.77212573212006,5.4209778477213915
malignant,M_372_mask.jpg,0.5588856001613893,0.8017129212567018,4416.410247181856,0.8501247265788054,165.48370558994432,121.43827300361795,165.48370558994432,121.43827300361795,165.48370558994432,121.43827300361795,0.0,0.0,0.0,0.0,165.48370558994432,121.43827300361795,165.48370558994432,121.43827300361795,128.0,0.0,128.0,0.0
malignant,M_373.jpg,0.014283332348291069,0.11282148830749161,339.2873881431767,0.9075830414828632,131.44849480631598,42.56458252092268,132.70224734746165,41.67074428821825,207.04725834748947,48.48847624966754,40.91876688295413,73.14427024562603,98.81856916093459,27.26809181367225,207.0485393633908,48.48967933002419,154.8048400122532,42.873635333648956,165.29477289815924,10.244216159025015,114.80787546297586,4.760713042380815
malignant,M_373_mask.jpg,0.5658824923792977,0.7706979632695979,4334.094142857142,0.8374703780988919,180.77899229401305,115.49753603246855,180.77899229401305,115.49753603246855,180.77899229401305,115.49753603246855,0.0,0.0,0.0,0.0,180.77899229401305,115.49753603246855,180.77899229401305,115.49753603246855,128.0,0.0,128.0,0.0
malignant,M_374.jpg,0.01629379138060141,0.13463574092924432,210.46510047281325,0.9083954614652053,94.30821596244131,30.29800370885997,140.48911384976526,35.915822441920035,202.45422535211267,33.725536513631845,12.709037558685447,3.541814342814278,139.26073943661973,23.032788853372306,202.45422535211267,33.725536513631845,153.7643192488263,33.92688865534758,162.7680751173709,5.857433947136033,94.4443661971831,6.363242905865308
malignant,M_374_mask.jpg,0.46363189137505284,0.7150949231601382,6418.448183175709,0.7911448002734592,155.96714918368696,123.90263218652768,155.96714918368696,123.90263218652768,155.96714918368696,123.90263218652768,0.0,0.0,0.0,0.0,155.96714918368696,123.90263218652768,155.96714918368696,123.90263218652768,128.0,0.0,128.0,0.0
malignant,M_375.jpg,0.014033053847890413,0.12352418725669173,197.6193798449612,0.952490592500437,140.893422663145,49.744140617415894,142.58357276299685,47.11726694223483,153.82390001932617,42.772347351274526,80.50085679314566,67.84344914105608,35.893809186368614,31.250231364279454,156.42688913225535,44.2358106404585,145.75404238871351,45.61463047696674,133.75347548798558,7.409333003108424,125.24465631643368,4.807865773283959
malignant,M_375_mask.jpg,0.5213795283405406,0.7702445343124564,4917.655759345795,0.8368742480730761,160.79502913752913,122.76062393933911,160.79502913752913,122.76062393933911,160.79502913752913,122.76062393933911,0.0,0.0,0.0,0.0,160.79502913752913,122.76062393933911,160.79502913752913,122.76062393933911,128.0,0.0,128.0,0.0
malignant,M_376.jpg,0.011825284967993581,0.11183828036562943,211.3413722052166,0.962998165503005,130.8448930364981,54.86556634750898,137.01158606508758,53.2948527388376,141.1451273280873,54.94721124452413,79.77261358693504,62.44086904048898,37.40405413420855,23.136090559117324,145.39596267151725,55.52014541256605,137.55158863537505,53.447811270849755,130.56818676104234,6.839027638578481,124.20687354185614,5.753484830475777
malignant,M_376_mask.jpg,0.624923589074661,0.8586959165323431,2684.801133971292,0.9037065844977448,174.9882340581994,118.12056405745767,174.9882340581994,118.12056405745767,174.9882340581994,118.12056405745767,0.0,0.0,0.0,0.0,174.9882340581994,118.12056405745767,174.9882340581994,118.12056405745767,128.0,0.0,128.0,0.0
malignant,M_377.jpg,0.016445373008134978,0.23567530000338843,118.3348248500518,0.9817382657485836,128.05775716272737,57.01028277072986,119.91992269451434,53.61420187451088,151.60723704965793,64.65638850468552,140.74350041000966,60.00453725685262,56.84422807349227,26.796532372752196,152.18347353557044,64.33584054800818,130.33442287885424,56.92210737136067,143.20114356516493,8.706498545802697,126.71114697166314,3.6812593995128116
malignant,M_377_mask.jpg,0.6290905285566977,0.8963744813023813,2290.8546894907113,0.9250742327443799,158.06039571538707,123.64310934023766,158.06039571538707,123.64310934023766,158.06039571538707,123.64310934023766,0.0,0.0,0.0,0.0,158.06039571538707,123.64310934023766,158.06039571538707,123.64310934023766,128.0,0.0,128.0,0.0
malignant,M_378.jpg,0.017118660057071664,0.23573248350525253,130.5300268724592,0.9822312103794218,151.31031429653345,63.14472259163534,141.81197287342079,63.3317129168934,157.7597824365727,55.67680079661256,127.1310847189232,54.060544852314386,41.34631002788392,30.781757529609198,161.2120403456229,58.6798347368381,147.65857964129574,60.62652619960872,135.20798375159214,7.9137742360111485,130.05323005955455,3.9846131274005656
malignant,M_378_mask.jpg,0.5982283142992088,0.881545394507769,2530.8279283737384,0.9211397960480693,140.5491325280112,126.67288352920659,140.5491325280112,126.67288352920659,140.5491325280112,126.67288352920659,0.0,0.0,0.0,0.0,140.5491325280112,126.67288352920659,140.5491325280112,126.67288352920659,128.0,0.0,128.0,0.0
malignant,M_379.jpg,0.606941013575733,0.7161438173385949,39.38582096651446,0.9931612676549832,217.6732081911263,63.109532988471884,220.0601061812666,60.195691013547716,233.4414391353811,38.49693698071853,9.138282138794084,34.33472804095879,24.369193211983315,44.44675385946364,233.45521899886234,38.50230349783223,223.79079446340538,53.82555668402971,134.8940936670459,12.14567356828464,124.54478100113765,5.9307400259827405
malignant,M_379_mask.jpg,0.5758804403002521,0.8532467809553638,3209.2457030231953,0.8994865360935002,143.14720920138888,126.34124523627983,143.14720920138888,126.34124523627983,143.14720920138888,126.34124523627983,0.0,0.0,0.0,0.0,143.14720920138888,126.34124523627983,143.14720920138888,126.34124523627983,128.0,0.0,128.0,0.0
malignant,M_380.jpg,0.017919422408358834,0.2921312111103533,66.4471149375051,0.9912986169538501,109.37508829442793,64.69104453725805,104.49102314216654,64.69650369573212,153.06936047206327,58.70943909492651,126.52993692272001,72.4265069191593,104.4997794758767,56.282968804891425,153.69192650312974,59.391140855989576,119.59069705371392,61.792353171601675,151.90727733596486,12.606882799884893,122.22104217047603,6.3884571459300545
malignant,M_380_mask.jpg,0.6330057011136796,0.9218325893080435,1687.8526648104978,0.9479742046507893,130.4193020312536,127.36299870175766,130.4193020312536,127.36299870175766,130.4193020312536,127.36299870175766,0.0,0.0,0.0,0.0,130.4193020312536,127.36299870175766,130.4193020312536,127.36299870175766,128.0,0.0,128.0,0.0
